fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53007.0,Chelan,Washington,2020-03-10,0,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-11,0,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-12,0,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-13,0,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-14,0,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-15,0,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-16,0,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-17,2,2020,79238,2.0,2.524041495242182
53007.0,Chelan,Washington,2020-03-18,2,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-19,2,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-20,2,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-21,3,2020,79238,1.0,1.262020747621091
53007.0,Chelan,Washington,2020-03-22,3,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-23,6,2020,79238,3.0,3.7860622428632724
53007.0,Chelan,Washington,2020-03-24,6,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-25,10,2020,79238,4.0,5.048082990484364
53007.0,Chelan,Washington,2020-03-26,10,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-27,12,2020,79238,2.0,2.524041495242182
53007.0,Chelan,Washington,2020-03-28,13,2020,79238,1.0,1.262020747621091
53007.0,Chelan,Washington,2020-03-29,13,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-30,14,2020,79238,1.0,1.262020747621091
53007.0,Chelan,Washington,2020-03-31,16,2020,79238,2.0,2.524041495242182
53007.0,Chelan,Washington,2020-04-01,17,2020,79238,1.0,1.262020747621091
53007.0,Chelan,Washington,2020-04-02,18,2020,79238,1.0,1.262020747621091
53007.0,Chelan,Washington,2020-04-03,20,2020,79238,2.0,2.524041495242182
53007.0,Chelan,Washington,2020-04-04,24,2020,79238,4.0,5.048082990484364
53007.0,Chelan,Washington,2020-04-05,29,2020,79238,5.0,6.310103738105454
53007.0,Chelan,Washington,2020-04-06,29,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-04-07,34,2020,79238,5.0,6.310103738105454
53007.0,Chelan,Washington,2020-04-08,34,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-04-09,43,2020,79238,9.0,11.358186728589818
53007.0,Chelan,Washington,2020-04-10,45,2020,79238,2.0,2.524041495242182
53007.0,Chelan,Washington,2020-04-11,53,2020,79238,8.0,10.096165980968728
53007.0,Chelan,Washington,2020-04-12,55,2020,79238,2.0,2.524041495242182
53007.0,Chelan,Washington,2020-04-13,55,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-04-14,61,2020,79238,6.0,7.572124485726545
53007.0,Chelan,Washington,2020-04-15,61,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-04-16,63,2020,79238,2.0,2.524041495242182
53007.0,Chelan,Washington,2020-04-17,66,2020,79238,3.0,3.7860622428632724
53007.0,Chelan,Washington,2020-04-18,67,2020,79238,1.0,1.262020747621091
53007.0,Chelan,Washington,2020-04-19,73,2020,79238,6.0,7.572124485726545
53007.0,Chelan,Washington,2020-04-20,75,2020,79238,2.0,2.524041495242182
